Bio region,Hotspot class (%),Overlap (%),Taxonomic_groups
NoA,10,0.45,Birds
SA,10,1.4,Birds
CA,10,0.84,Birds
EA,10,0,Birds
NWA,10,7.04,Birds
SWA,10,3.89,Birds
NoA,25,3.66,Birds
SA,25,9.15,Birds
CA,25,4.1,Birds
EA,25,0.04,Birds
NWA,25,8.59,Birds
SWA,25,5.18,Birds
NoA,50,13.39,Birds
SA,50,16.37,Birds
CA,50,9.68,Birds
EA,50,1.91,Birds
NWA,50,9.68,Birds
SWA,50,8.75,Birds
NoA,10,6.28,Mammals
SA,10,0,Mammals
CA,10,0.13,Mammals
EA,10,0,Mammals
NWA,10,2.93,Mammals
SWA,10,1.58,Mammals
NoA,25,14.32,Mammals
SA,25,0,Mammals
CA,25,2.6,Mammals
EA,25,0,Mammals
NWA,25,7.19,Mammals
SWA,25,3.41,Mammals
NoA,50,21.67,Mammals
SA,50,3.53,Mammals
CA,50,12.81,Mammals
EA,50,5.02,Mammals
NWA,50,10.16,Mammals
SWA,50,6.76,Mammals
NoA,10,0,Reptiles
SA,10,1.71,Reptiles
CA,10,9.74,Reptiles
EA,10,3.07,Reptiles
NWA,10,0.03,Reptiles
SWA,10,0,Reptiles
NoA,25,1.3,Reptiles
SA,25,11.94,Reptiles
CA,25,14.06,Reptiles
EA,25,4.71,Reptiles
NWA,25,0.57,Reptiles
SWA,25,0,Reptiles
NoA,50,5.92,Reptiles
SA,50,26.16,Reptiles
CA,50,18.21,Reptiles
EA,50,12.98,Reptiles
NWA,50,2.03,Reptiles
SWA,50,0,Reptiles
NoA,10,0,Fishes
SA,10,2.41,Fishes
CA,10,9.31,Fishes
EA,10,0,Fishes
NWA,10,1.04,Fishes
SWA,10,0.01,Fishes
NoA,25,0.37,Fishes
SA,25,9.55,Fishes
CA,25,15.57,Fishes
EA,25,0,Fishes
NWA,25,3.14,Fishes
SWA,25,3.36,Fishes
NoA,50,5.66,Fishes
SA,50,20.5,Fishes
CA,50,18.45,Fishes
EA,50,0.52,Fishes
NWA,50,7.71,Fishes
SWA,50,9.94,Fishes
NoA,10,0,Anfibians
SA,10,0.23,Anfibians
CA,10,7.04,Anfibians
EA,10,0,Anfibians
NWA,10,5.29,Anfibians
SWA,10,0.71,Anfibians
NoA,25,1.34,Anfibians
SA,25,5.81,Anfibians
CA,25,14.3,Anfibians
EA,25,0.98,Anfibians
NWA,25,7.32,Anfibians
SWA,25,2.52,Anfibians
NoA,50,7.76,Anfibians
SA,50,18.22,Anfibians
CA,50,16.57,Anfibians
EA,50,3.86,Anfibians
NWA,50,9.2,Anfibians
SWA,50,7.08,Anfibians
NoA,10,0.81,Plants
SA,10,0.61,Plants
CA,10,0.04,Plants
EA,10,0,Plants
NWA,10,4.55,Plants
SWA,10,8.62,Plants
NoA,25,5.15,Plants
SA,25,4.11,Plants
CA,25,1.52,Plants
EA,25,0,Plants
NWA,25,8.77,Plants
SWA,25,12.35,Plants
NoA,50,14.12,Plants
SA,50,12.2,Plants
CA,50,5.99,Plants
EA,50,0.98,Plants
NWA,50,11.94,Plants
SWA,50,14.07,Plants
